Season,Episode,Game,Round,Question,Question Text,Contestant ID,Contestant Answer,Panelist 1 Answer,Panelist 1 Matched,Panelist 2 Answer,Panelist 2 Matched,Panelist 3 Answer,Panelist 3 Matched,Panelist 4 Answer,Panelist 4 Matched,Panelist 5 Answer,Panelist 5 Matched,Panelist 6 Answer,Panelist 6 Matched,Alternate Panelist,Alternate Panelist Position,Notes
73,6,10,1,B,"Mary said to John, ""I lied when I said I was blank.""",7,pregnant,pregnant,yes,single,no,pregnant,yes,out shopping,no,single,no,pregnant,yes,,,
73,6,10,2,A,"A mother said to her son, ""If you cannot be a doctor, at least be a blank.""",11,good man,lawyer,no,man,no,bank robber,no,lawyer,no,,,,,,,
73,6,11,1,B,Hollywood is full of blanks.,12,celebrities,stars,yes,stars,yes,palm trees,no,stars,yes,stars,yes,stars,yes,,,
73,7,11,1,A,John is allergic to Mary's blank.,7,perfume,touch,no,perfume,yes,makeup,no,mother,no,new coat,no,mother,no,,,
73,7,11,2,A,"Mary said, ""I'd sure like to win a blank on The Price is Right.""",12,car,,,,,prize,no,,,,,,,,,
73,7,11,2,B,"Before they fall asleep, John always says blank to Mary.",7,I love you,good night,no,,,good night,no,,,,,,,,,
73,7,12,1,B,"When John heard he was going to be a father, he blank.",13,fainted,fainted,yes,cried,no,jumped for joy,no,passed out,yes,fainted,yes,jumped for joy,no,,,
73,7,12,1,A,Mary's nose is blank.,12,pugged,pug,yes,running,no,cold,no,unique,no,crooked,no,pugged,yes,,,
73,7,12,2,B,Name something a person might do while asleep.,13,snore,,,dream,no,snore,yes,,,,,snore,yes,,,
73,7,12,2,A,John likes ketchup so much he even puts it on his blank.,12,cottage cheese,,,ice cream,no,bread,no,,,,,,,,,
73,8,13,1,A,Mary was surprised to find the new apartment had no blank.,14,furniture,furniture,yes,bathrooms,no,windows,no,closets,no,kitchen,no,electricity,no,,,
73,8,13,1,B,Johnny always blanks when he's nervous.,13,shakes,shakes,yes,sweats,no,perspires,no,shakes,yes,sweats,no,stutters,no,,,
73,8,13,2,A,There's always a blank in a Western movie.,14,fight,,,sheriff,no,cowboy,no,cowboy,no,horse,no,horse,no,,,
73,8,14,1,A,George didn't like his first blank.,15,name,wife,no,date,no,wife,no,wife,no,date,no,date,no,,,
73,8,14,1,B,Mary has more blank than she used to.,13,weight,money,no,bust,no,money,no,gray hair,no,moxy,no,nerve,no,,,
73,8,14,2,A,Name something sold by the bunch.,15,carrots,carrots,yes,bananas,no,bananas,no,bananas,no,politics,no,bananas,no,,,
73,9,14,2,B,John doesn't trust banks. He keeps his money blank.,13,under his bed,mattress,no,sock,no,under the mattress,no,under the mattress,no,under his mattress,no,in his mattress,no,,,
73,9,15,1,B,"Mary is accident-prone, so she always carries a blank with her.",16,first aid kit,band aid,no,policy,no,band aid,no,crutch,no,bandage,no,band aid,no,,,
73,9,15,1,A,"Before an actor goes onstage, he usually checks his blank.",15,hair,dialogue,no,zipper,no,lines,no,fly,no,fly,no,lines,no,,,
73,9,15,2,A,John was blank the night he proposed.,16,drunk,drunk,yes,drunk,yes,drunk,yes,drunk,yes,nervous,no,terrified,no,,,
73,9,15,2,B,Name someone whose picture is often on the front page of the newspaper.,15,richard nixon,president nixon,yes,nixon,yes,nixon,yes,nixon,yes,nixon,yes,,,,,
73,10,16,1,B,"John said, ""My waterbed is blank.""",17,leaking,leaking,yes,leaking,yes,broken,no,leaking,yes,leaking,yes,leaking,yes,,,
73,10,16,1,A,Name something a baby does more than an adult.,15,wets,wets,yes,burp,no,wets the bed,yes,cries,no,wets its diapers,yes,cries,no,,,
73,10,16,2,B,A blank followed Sally home.,17,man,,,,,man,yes,,,,,,,,,
73,10,16,2,A,"Mary asked John, ""Would you like a little blank?""",15,kiss,,,more,no,,,,,,,,,,,
73,10,17,1,B,"John said to Harry, ""I can never get a date. Do you think it's my blank?""",18,breath,breath,yes,breath,yes,breath,yes,breath,yes,breath,yes,breath,yes,,,
73,10,17,1,A,Harry was in a blank for a week.,17,daze,coma,no,bed,no,funk,no,blue funk,no,hospital,no,coma,no,,,
73,10,17,2,B,Name someone who has appeared in a lot of horror films.,17,frankenstein,boris karloff,no,,,,,,,,,,,,,
73,11,18,1,B,"The first time a boy kissed Susie, she blanked.",19,slapped him,blushed,no,fainted,no,blushed,no,belted him,yes,swooned,no,giggled,no,,,
73,11,18,1,A,"When John saw this girl at the cocktail party, he could tell by the way she was dressed that she was a blank.",18,swinger,hooker,no,lady of the evening,no,pushover,no,hooker,no,swinger,yes,swinger,yes,,,
73,11,18,2,A,"Mary said, ""John can't come to the phone now. He's busy chopping blank.""",19,wood,wood,yes,wood,yes,wood,yes,,,wood,yes,ice,no,,,
73,11,18,2,B,Mr. Jones could hardly believe his ears when the nurse told him he was the father of blank.,18,triplets,boy,no,triplets,yes,a baby boy,no,,,,,,,,,
73,11,19,1,A,Sarah even puts perfume on her blank.,20,bosom,bosom,yes,bust,yes,toes,no,knees,no,neck,no,light bulbs,no,,,
73,12,19,1,B,Some of John's closest friends don't know that he's blank.,19,married,bald,no,gay,no,married,yes,gay,no,ill,no,married,yes,,,
73,12,19,2,B,"Mary called the hotel clerk and said, ""There's a blank in my room.""",20,man,,,,,man,yes,burglar,no,man,yes,man,yes,,,
73,12,19,2,A,"John told Mary, ""Put your blank on. Company's coming.""",19,robe,clothes,no,pants,no,,,,,,,,,,,
73,12,20,1,A,"Though Sam was eighty years old, he still liked to blank.",21,dance,smoke,no,drink,no,fish,no,swim,no,laugh,no,dance,yes,,,
73,12,20,1,B,A camel has more blank than a human being.,20,humps,stomach,no,humps,yes,teeth,no,humps,yes,stomachs,no,humps,yes,,,
73,12,20,2,A,Nobody knows Mary's real blank.,21,name,name,yes,hair color,no,name,yes,age,no,name,yes,,,,,
73,12,20,2,B,"If John spent more than five minutes with his blank, he got a headache.",20,mother-in-law,children,no,,,wife,no,,,boss,no,,,,,
73,13,21,1,B,"John said, ""I'll apologize up front, folks, but beer makes me blank.""",22,belch,burp,yes,burp,yes,burp,yes,belch,yes,burp,yes,burp,yes,,,
73,13,21,1,A,The first thing Mary saw when she woke up was blank.,21,her husband,her husband,yes,her feet,no,"john, married 2 years",yes,the sun,no,john,no,her husband,yes,,,
73,13,21,2,B,"John said to Harry, ""I don't want anyone to know it, but I'm dating the boss's blank.""",21,wife,,,wife,yes,,,wife,yes,daughter,no,,,,,
73,13,22,1,B,John was upset when he learned they were going to open a blank next door.,23,bar,massage parlor,no,car wash,no,liquor store,no,funeral parlor,no,bowling alley,no,bar,yes,,,
73,13,22,1,A,Mary's blank was lumpy.,22,mashed potatoes,skin,no,tummy,no,mashed potatoes,yes,legs,no,bed,no,bed,no,,,
73,14,22,2,B,John usually blanks in the shower.,23,sings,sings,yes,sings,yes,sings,yes,scrubs,no,sings,yes,,,,,
73,14,22,2,A,Rocco came home with blank on his tie.,22,lipstick,meat sauce,no,pasta,no,,,,,,,,,,,
73,14,23,1,B,"Sally said to the man at the door, ""I can't let you in because blank.""",24,my husband's home,my husband is at home,yes,drunk,no,he's here,no,my husband's home,yes,i'm not at home,no,i'm alone,no,,,
73,14,23,1,A,Mary has never seen John's blank.,23,secretary,wife,no,birthmark,no,dog,no,apartment,no,belly button,no,office,no,,,
73,14,23,2,B,"During the summer, John grew a blank.",24,mustache,,,beard,no,beard,no,,,beard,no,beard,no,,,
73,14,23,2,A,"Yesterday, Mary blanked her wedding dress.",23,sold,bought,no,washed,no,burned,no,burned,no,wore,no,,,,,
73,15,24,1,B,"""Johnny!"" his mother screamed. ""Who ever heard of a blank for a pet?""",25,zebra,frog,no,snake,no,snake,no,lion,no,alligator,no,spider,no,,,
73,15,24,1,A,"John said to Jack, ""Keep your hands off my blank.""",24,wife,wife,yes,gun,no,girl,no,wife,yes,wife,yes,wife,yes,,,
73,15,24,2,A,Mary never wears blank.,25,undies,underwear,yes,bra and panties,no,makeup,no,a girdle,no,,,,,,,
73,15,25,1,A,Mary had a cold blank.,26,in her nose,nose,no,nose,no,car,no,nose,no,behind,no,lunch,no,,,
73,15,25,1,B,Mary never told anyone her blanks were fake.,24,busts,boobs,yes,boobies,yes,diamonds,no,eyelashes,no,eyelashes,no,bosoms,yes,,,
73,16,25,2,A,"Helen said to Peter, ""Why didn't you tell me the blank was wet?""",26,floor,sand,no,baby,no,bed,no,bench,no,floor,yes,floor,yes,,,
73,16,26,1,B,"Frank said, ""I'm sick and tired of that dog blanking on my favorite chair.""",27,sitting,shedding,no,urinating,no,sleeping,no,sitting,yes,sitting,yes,shedding,no,,,
73,16,26,1,A,"One caveman asked another, ""Can I borrow your blank?""",24,wife,club,no,club,no,club,no,club,no,club,no,wife,yes,,,
73,16,26,2,B,John decided to get the blank taken off his chest.,27,tattoo,tattoo,yes,hair,no,hair,no,,,,,hair,no,,,
73,16,26,2,A,Arthur was so blank he couldn't get into Fannie's car.,24,drunk,fat,no,fat,no,drunk,yes,drunk,yes,fat,no,,,,,
73,16,26,tie1,B,Name a TV news commentator.,27,george putnam,cronkite,no,jerry dunphy,no,jerry dunphy,no,walter cronkite,no,cronkite,no,brinkley,no,,,
73,16,26,tie1,A,Name a TV detective.,24,mannix,cannon,no,mannix,yes,,,,,,,,,,,
73,17,27,1,B,Tom and Sally like to blank in front of the fire.,28,sit,snuggle,no,roast chestnuts,no,cuddle,no,sit,yes,kiss,no,sit,yes,,,
73,17,27,1,A,"Superman said, ""I'm glad I have x-ray vision because I can see through blank.""",24,walls,walls,yes,walls,yes,walls,yes,walls,yes,dresses,no,buildings,no,,,
73,17,27,2,B,"As a traveling salesman, Ira picks up a lot of blanks.",28,girls,diseases,no,girls,yes,call girls,yes,,,girls,yes,,,,,
73,17,27,2,A,Mary was a blank dancer.,24,good,,,,,,,,,belly,no,great,yes,,,
73,17,27,tie1,B,Name a rich man.,28,rockefeller,howard hughes,no,getty,no,j. paul getty,no,j. paul getty,no,j. p. getty,no,j. p. getty,no,,,
73,17,27,tie1,A,Name a school subject most kids find difficult.,24,math,math,yes,math,yes,math,yes,math,yes,math,yes,math,yes,,,
73,18,28,1,A,"Dear sirs, please cancel my subscription. I won't read any magazine that has blank as the centerfold.",29,a nude girl,george maharis,no,a nude,no,a naked man,no,nudes,no,nudes,no,burt reynolds,no,,,
73,18,28,1,B,"Mark said to Suzanne, ""Let's take a blank together.""",24,nap,shower,no,walk,no,swim,no,walk,no,shower,no,trip,no,,,
73,18,28,2,A,Anyone who wears a tuxedo in the afternoon must be a blank.,29,actor,penguin,no,jerk,no,actor,yes,waiter,no,waiter,no,waiter,no,,,
73,18,28,2,B,Grandpa keeps his blank on a table next to his bed.,24,teeth,teeth,yes,teeth,yes,teeth,yes,teeth,yes,teeth,yes,teeth,yes,,,
73,18,29,1,B,Mary never could stop after just one blank.,30,peanut,peanut,yes,bite,no,martini,no,potato chip,no,bite,no,drink,no,,,
73,18,29,1,A,Grandma remembers when Grandpa still had blank.,24,all his hair,hair,yes,passion,no,hair,yes,hair,yes,hair,yes,hair,yes,,,
73,19,29,2,A,John wouldn't mind being shipwrecked on a desert isle with blank.,30,a beautiful girl,,,raquel welch,no,raquel welch,no,,,,,,,,,
73,19,30,1,B,The last thing Helen does before going to bed is blank.,31,brush her teeth,turn out the light,no,brushing her teeth,yes,shower,no,brush her teeth,yes,prayers,no,put out the cat,no,,,
73,19,30,1,A,Doris was surprised when she discovered her husband was a blank.,24,swinger,fag,no,fag,no,girl,no,alcoholic,no,lady,no,rich man,no,,,
73,19,30,2,B,Melvin got his blank caught in a revolving door.,31,coat,tie,no,,,arm,no,,,tie,no,blank,no,,,
73,19,30,2,A,Susie got blank the night of her graduation.,24,kissed,pregnant,no,stoned,no,pregnant,no,drunk,no,goosed,no,,,,,
73,20,31,1,B,Norma just had a baby. Now she would like a blank.,32,husband,rest,no,babysitter,no,another,no,rest,no,rest,no,husband,yes,,,
73,20,31,1,A,The highlight of the party was when Raquel decided to blank.,31,strip,strip,yes,take her clothes off,yes,strip,yes,strip,yes,strip,yes,strip,yes,,,
73,20,31,2,B,Percy's hobby was watching blanks through binoculars.,32,girls,nudists,no,girls,yes,girls,yes,girls,yes,birds,no,,,,,
73,20,32,1,A,"Phyllis said to Adolf, ""You've only one habit I can't stand. It's the way you blank.""",33,eat,goosestep,no,bite your nails,no,comb your hair,no,cuss,no,eat,yes,breathe,no,,,
73,20,32,1,B,"Herbie told the cab driver, ""Please hurry! I have to get to the blank.""",31,doctor,airport,no,bank,no,airport,no,airport,no,airport,no,hospital,no,,,
73,20,32,2,A,"Steve said to Geraldine, ""We really need a blanker bed.""",33,larger,water,no,bigger,yes,harder,no,bigger,yes,,,harder,no,,,
73,21,32,2,B,You can always tell a witch by her blank.,31,broom,nose,no,nose,no,broom,yes,broom,yes,broomstick,yes,broom,yes,,,
73,21,33,1,B,Peggy lost her blank in a drive-in movie.,34,skirt,bra,no,heart,no,bra,no,purse,no,virginity,no,purse,no,,,
73,21,33,1,A,Evelyn treats her husband like a baby. She even blanks him.,31,bathes,burps,no,spoils,no,scolds,no,feeds,no,feeds,no,feeds,no,,,
73,21,33,2,A,"While other people might swear when angry, Mary merely says blank.",34,darn it,shucks,no,darn,yes,fudge,no,oh darn,yes,golly,no,darn,yes,,,
73,21,33,2,B,"Frank was in such a hurry to light Sally's cigarette, he set her blank on fire.",31,hair,blouse,no,eyelashes,no,hair,yes,nose,no,hair,yes,hair,yes,,,
73,21,33,tie1,A,Name a breed of dog.,34,poodle,german shepherd,no,poodle,yes,boxer,no,airedale,no,boxer,no,poodle,yes,,,
73,21,33,tie1,B,Married couples frequently argue about blank.,31,money,money,yes,money,yes,the kids,no,money,yes,,,,,,,
73,22,34,1,B,"Marvin said, ""My wife must spend half of her life on the blank.""",35,bed,phone,no,phone,no,john,no,phone,no,bed,yes,bed,yes,,,
73,22,34,1,A,Irving had to laugh when he saw Sarah's blank.,31,hat,hat,yes,hairdo,no,face,no,shoes,no,dress,no,bathing suit,no,,,
73,22,34,2,A,"Tarzan said to Jane, ""I'm bringing a couple of blanks home for dinner.""",35,apes,apes,yes,steaks,no,apes,yes,monkeys,yes,,,,,,,
73,22,34,2,B,Frank spent a week in blank.,31,jail,,,bed,no,bed,no,,,,,,,,,
73,22,35,1,A,Name something that has a lot of wrinkles.,36,prunes,old faces,no,stomachs,no,prunes,yes,an old lady,no,prunes,yes,an old face,no,,,
73,22,35,1,B,"Ann said to Bert, ""Your blank is dripping.""",35,nose,nose,yes,nose,yes,pen,no,faucet,no,candle,no,faucet,no,,,
73,23,35,2,B,Mary loves to show off her blank.,36,husband,figure,no,fur coat,no,,,dress,no,,,figure,no,,,
73,23,35,2,A,Poor Irving. Nobody showed up at his blank.,35,wedding,,,,,bar mitzvah,no,wedding,yes,funeral,no,,,,,
73,23,36,1,B,George Washington didn't brush his wooden teeth. He blanked them.,37,soaked,sharpened,no,waxed,no,polished,no,soaked,yes,planed,no,sawed,no,,,
73,23,36,1,A,"Because Lola was a spy, she kept a microphone hidden in her blank.",35,bosom,bosom,yes,bra,no,bra,no,bra,no,bedroom,no,bra,no,,,
73,23,36,2,B,Lester believes in blanks even though he's never seen one.,37,fairies,ghosts,no,martians,no,fairies,yes,,,ghosts,no,fairies,yes,,,
73,23,36,2,A,Julia was always falling out of blank.,35,bed,,,bed,yes,line,no,bed,yes,love,no,bed,yes,,,
73,24,37,1,A,"Mary said, ""If my family ever found out I was a blank, they'd have a fit.""",38,pregnant lady,hippie,no,guru,no,high school dropout,no,bubble dancer,no,actress,no,hooker,no,,,
73,24,37,1,B,"Kay said to Loretta, ""Whenever John is tense, I give him a blank.""",35,massage,rub down,yes,rub down,yes,pill,no,massage,yes,pill,no,massage,yes,,,
73,24,37,2,B,"Dear Miss Lonely Hearts, my parents won't let my boyfriend in the house because he refuses to blank.",38,shake hands,cut his hair,no,propose,no,shave,no,,,,,,,,,
73,24,38,1,A,Name a slang word for drunk.,39,smashed,plastered,no,smashed,yes,stoned,no,smashed,yes,boozed,no,smashed,yes,,,
73,24,38,1,B,Raquel blanked with every man at the party.,35,danced,danced,yes,danced,yes,flirted,no,shook hands,no,flirted,no,danced,yes,,,
73,25,38,2,B,"When the little stork asked his mother, ""Where do babies come from?"" his mother said, ""The blank brings them.""",39,human,mailman,no,,,mailman,no,,,doctor,no,,,,,
73,25,38,2,A,Linda is so rich she has a gold blank in her bathroom.,35,bathtub,,,,,tub,yes,,,,,,,,,
73,25,39,1,B,"Archie yelled, ""Edith! We've run out of blank again!""",40,beer,beer,yes,toilet paper,no,beer,yes,beer,yes,tissue,no,beer,yes,,,
73,25,39,1,A,"Richard said to Chuck, ""That's your blind date over there. The one with the blank.""",35,big nose,knockers,no,chaperone,no,glasses,no,wart,no,veil,no,glasses,no,,,
73,25,39,2,A,Percy finally got rid of his blank.,40,wife,,,wife,yes,,,,,wife,yes,,,,,
73,25,39,2,B,"John said to Mary, ""I'm ready for blank.""",35,dinner,love,no,,,,,,,,,,,,,
73,26,40,1,A,Inez was a contortionist. She could touch her nose to her blank.,41,toes,fanny,no,belly button,no,foot,yes,toes,yes,back,no,rear,no,,,
73,26,40,1,B,Wanda told her psychiatrist she couldn't bear to blank her husband.,40,divorce,kiss,no,fight with,no,shoot,no,kiss,no,bare,no,kiss,no,,,
73,26,40,2,B,No one would play golf with George anymore because he blanked so much.,41,cheated,swore,no,swore,no,,,,,swore,no,cheated,yes,,,
73,26,40,2,A,"Arthur said, ""Phyllis is a blank head.""",40,meat,hot,no,hop,no,knot,no,egg,no,,,,,,,
73,26,41,1,B,John lost his trained flea in Mary's blank.,42,hair,hair,yes,hair,yes,kennel club,no,furniture,no,hair,yes,hair,yes,,,
73,26,41,1,A,Harvey and Maureen broke a campus record by blanking for 100 hours without stopping.,41,kissing,kissing,yes,dancing,no,kissing,yes,kissing,yes,kissing,yes,kissing,yes,,,
73,27,41,2,B,"Santa Claus yelled, ""Help! I've got my blank caught in the chimney!""",42,beard,,,,,beard,yes,bag of toys,no,,,,,,,
73,27,41,2,A,Albert invented a machine that makes blank for only a nickel a quart.,41,booze,,,beer,no,,,,,,,,,,,
73,27,41,tie1,B,Name a kind of muffin.,42,english,blueberry,no,corn,no,english,yes,bran,no,bran,no,english,yes,,,
73,27,41,tie1,A,I don't eat chocolate. It's too blank.,41,fattening,sweet,no,sweet,no,sweet,no,fattening,yes,fattening,yes,rich,no,,,
73,27,41,tie2,B,"Name something you'd expect to see in Washington, D.C.",42,the capitol,washington monument,no,lincoln memorial,no,a politician,no,a republican,no,senators,no,white house,no,,,
73,27,41,tie2,A,Name a musical instrument.,41,guitar,guitar,yes,,,,,,,,,,,,,
73,27,42,1,B,"Marie said to Andy, ""Please don't refer to my mother as an old blank.""",43,hag,battle axe,no,bag,no,bag,no,bag,no,bag,no,bag,no,,,
73,27,42,1,A,The girl slapped the policeman when he tried to blank her.,41,frisk,kiss,no,arrest,no,pinch,no,pinch,no,pinch,no,arrest,no,,,
73,27,42,2,B,Carol had a bigger blank than Jonathan.,43,mouth,fanny,no,car,no,chest,no,head,no,bust,no,voice,yes,,,
73,27,42,2,A,"After 37 days on the ark, one of Noah's elephants got blank.",41,pregnant,seasick,no,constipated,no,seasick,no,pregnant,yes,irregular,no,pregnant,yes,,,
73,28,43,1,A,Caroline always slept with her blank.,44,lover,teddy bear,no,doggie,no,pillow,no,dog,no,teddy bear,no,dog,no,,,
73,28,43,1,B,"Jane said to Bernie, ""What in heaven's name is this blank doing in your glove compartment?""",41,bra,girdle,no,map,no,girdle,no,brassiere,yes,bra,yes,bra,yes,,,
73,28,43,2,A,Jack's blank fell asleep at the drive-in movie.,44,girlfriend,arse,no,girlfriend,yes,chauffeur,no,foot,no,date,yes,date,yes,,,
73,28,43,2,B,"On his arrival in the jungle, Paul was blanked by the natives.",41,captured,eaten,no,speared,no,cooked,no,,,,,,,,,
73,28,43,tie1,A,Name a character in a children's nursery rhyme.,44,little miss muffet,mother goose,no,jack sprat,no,old mother hubbard,no,winnie the pooh,no,mother goose,no,humpty dumpty,no,,,
73,28,43,tie1,B,"Name a gangster, living or dead.",41,baby face nelson,al capone,no,al capone,no,dillinger,no,dillinger,no,al capone,no,al capone,no,,,
73,28,43,tie2,A,Name any river.,44,mississippi,mississippi,yes,hudson,no,mississippi,yes,rio grande,no,nile,no,mississippi,yes,,,
73,29,43,tie2,B,Name a foreign car.,41,volkswagen,mercedes,no,volkswagen,yes,fiat,no,volvo,no,volkswagen,yes,volkswagen,yes,,,
73,29,43,tie3,A,Name a place where you might find ice.,44,the freezer,north pole,no,north pole,no,north pole,no,alaska,no,north pole,no,icebox,yes,,,
73,29,43,tie3,B,Name a flavor of ice cream.,41,vanilla,vanilla,yes,chocolate,no,vanilla,yes,,,,,,,,,
73,29,44,1,B,"Sally said, ""Don't touch my blank, you know that's where I'm ticklish!""",45,tummy,thigh,no,navel,yes,toes,no,feet,no,tummy,yes,ribs,no,,,
73,29,44,1,A,Give us a slang word for girl.,41,broad,broad,yes,broad,yes,broad,yes,broad,yes,chick,no,dame,no,,,
73,29,44,2,B,Name something that has gas.,45,car,stomach,no,,,my stomach,no,stove,no,,,,,,,
73,30,45,1,B,"Walter asked Edith, ""Why do you always laugh while we're blanking?""",46,kissing,making love,no,eating,no,eating,no,waltzing,no,loving,no,kissing,yes,,,
73,30,45,1,A,Marilyn lost half of her blank.,41,weight,dress,no,body,no,bathing suit,no,money,no,swimsuit,no,money,no,,,
73,30,45,2,B,Jason took a deep breath of Los Angeles air and blanked.,46,coughed,coughed,yes,died,no,passed out,no,coughed,yes,threw up,no,,,,,
73,30,45,2,A,Howard looked at himself in the mirror and said blank.,41,you're gorgeous,oh my god,no,i'm too fat,no,i don't believe it,no,ugh,no,,,,,,,
73,30,46,1,B,"Cindy said to Carl, ""Be honest, do you like me better with or without my blank?""",51,money,wig,no,fur coat,no,wooden leg,no,eyelashes,no,dress,no,wig,no,,,
73,30,46,1,A,"Patricia said to Peter, ""Your blank is making strange noises.""",46,car,car,yes,stomach,no,car,yes,car,yes,tummy,no,stomach,no,,,
73,30,46,2,B,Jerry wore a mask because he was a blank.,51,comedian,crook,no,dog,no,thief,no,bandit,no,,,,,,,
73,31,47,1,A,George was surprised when he came home and found blank hanging in the closet.,47,his wife,his boss,no,his wife,yes,his wife,yes,aunt hester,no,ladies undies,no,mother,no,,,
73,31,47,1,B,"Helen said, ""Ouch! Be careful. My blank is sunburned.""",46,back,back,yes,back,yes,behind,no,back,yes,bottom,no,back,yes,,,
73,31,47,2,A,Max shows off his strength by opening blanks with his teeth.,47,bottles,bottles,yes,,,,,bottles,yes,beer cans,no,nuts,no,,,
73,31,47,2,B,"Philip said to Donna, ""Let's do something different tonight. Let's blank on the front lawn.""",46,sleep,,,,,rhumba,no,,,love,no,,,,,
73,31,47,tie1,A,Name something you might eat during a baseball game.,47,hot dog,peanuts,no,hot dogs,yes,hot dog,yes,hot dog,yes,hot dog,yes,peanuts,no,,,
